"Txhash","UnixTimestamp","DateTime","From","To","Value","ContractAddress","TokenName","TokenSymbol"
"0xd1ed085c4fbc7e6ada095e572b8909c75d815f34dd6cfbc677139e07c5a3023e","1590969626","2020-06-01 00:00:26","0xf46d9ba274edb3599d1d6bf3cbfa90bcf3dae931","0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2","86.462663","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USD Coin","USDC"
"0xcc99d3124fc40bf6510f2a1d99e351d0cad3ae8e1159feb7af803d3107707a52","1590969626","2020-06-01 00:00:26","0x5650db89a8d8971dd0f4cd8bf0f517512bd62864","0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2","31,382","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0x485eb6dd992774821548d931411569b48598e8e22f1421ab9dc8b549ad81e04e","1590969654","2020-06-01 00:00:54","0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2","0xf341511c2fd11b4b5c29d684c4dda441b7ecaa0a","90","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0x09a6d2dd364608ab05475558c2974109062fe51ab549c31a1c0f12fa0e3c7329","1590969863","2020-06-01 00:04:23","0x6eceb8dd13c1ab33e757c19e7e8965f4f012e2eb","0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2","34,817.129659","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USD Coin","USDC"
"0x0e59e1e488f534058ccc6a82a69dd1266738d0f84b9df7f3ba587ad4de0984d0","1590969863","2020-06-01 00:04:23","0x0bb6135b7f7b977dc9819457fe8c53a82d92b226","0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2","51.463","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0x5516da90315d82cadce4ba48fa4e6d9526285a27df5e0034176ae5fa6b849772","1590969934","2020-06-01 00:05:34","0x4dc59722951f27959f57f9797f88894630c54e97","0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2","1,136.75946","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0x15016d572dcf5f18065742b6a27602ba8a8c33035a9178cd62a1092cdfc87ad0","1590969934","2020-06-01 00:05:34","0x425ad2bdd1f01e9929d6e443bb44c2787152b699","0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2","303.646162","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0x61366e2fb7f41d420065e02b47620b0caf04840eb7755b55ca0951695b7db13b","1590969939","2020-06-01 00:05:39","0x0000000000000000000000000000000000000000","0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2","1,360.04957","0xa38920c00d1a5303db538a3ea08da7a779e1f751","3X Long TomoChain Token","TOMOBULL"
"0x1a5873f5d6e37dc04ee3e5331775f9ca98696d3123806fbf7144b1bc83836c95","1590969939","2020-06-01 00:05:39","0x0000000000000000000000000000000000000000","0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2","923.31535748","0x7e03521b9da891ca3f79a8728e2eaeb24886c5f9","3X Long Matic Token","MATICBULL"
"0xadde1137a6d9111fa60653917c385fb3577c6cd5a50f85fe7aa8b619e5177ed6","1590969939","2020-06-01 00:05:39","0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2","0x0000000000000000000000000000000000000000","1.81549446","0x43de1145cd22f0a9cc99e51c205e6e81161df6b9","3X Long Cardano Token","ADABULL"
"0x9fd38c8fc72ec2a4f0a8f6aeae8be67ca63ebab4b1abb309657be9c0bfe15210","1590969944","2020-06-01 00:05:44","0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2","0x0000000000000000000000000000000000000000","19,363.1052607","0xbe893b4c214dbffc17ef1e338fbdb7061ff09237","3X Short Matic Token","MATICBEAR"
"0x96985ea743fb5b39543fe2128a494fcfdd7828490f15d1454e8089f448b4680b","1590969944","2020-06-01 00:05:44","0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2","0x0000000000000000000000000000000000000000","363.67097868","0xb3299d4bab93bf04d5b11bc49cd6dfad1f77d23f","3X Short Cardano Token","ADABEAR"
